# regenerated by data/regen_tables_from_dump.py 20260719T183042Z (git 9b749c0) from offset_sweep_per_trip_retuned_20260719T180407Z.csv; wide-grid θ; changed fleets vs narrow grid: none; my_ekf/coulomb/ocv_lookup rows from the cross-checked sweep
# ocv_lookup is init-independent: identical values replicated across offset rows by construction
# censoring threshold per dataset = EKF median strict t_conv at +20pp
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
dataset,method,offset_pp,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,maxerr_median,rmse_postconv_median,err_end_median,conv_rate_strict,conv_rate_hold,conv_rate_legacy,rate_recovered,rate_diverged,t_conv_strict_median_s,t_conv_hold_median_s,t_conv_legacy_median_s,n_censored,conv_rate_strict_censaware,mean_applied_offset_pp
BMW_i3,my_ekf,-30,63,0,30.14147808978318,30.099341877207003,30.214020059499646,29.97235850792235,30.141431209436735,30.292154088575717,4.185073234221588,30.248897606836884,0.015873015873015872,0.015873015873015872,0.0,0.0,0.9841269841269841,3821.9,3821.9,,12,0.0196078431372549,-29.99206349206349
BMW_i3,my_ekf,-20,63,0,20.135342973451937,20.03663049476606,20.231443887466753,20.534371153453556,20.132584248167014,20.30811397024609,2.256845406448776,20.249378109112076,0.031746031746031744,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.9206349206349206,2326.7,831.5,461.45,12,0.0392156862745098,-20.0
BMW_i3,my_ekf,-10,63,0,10.289139864783046,10.134194790868165,14.956911108163228,13.963045029207251,10.23954629603919,14.200000000000001,1.238513645301568,10.325848636552927,0.06349206349206349,0.1111111111111111,0.3333333333333333,0.19047619047619047,0.746031746031746,1021.5,0.9,0.0,11,0.07692307692307693,-10.0
BMW_i3,my_ekf,-5,63,0,15.838244652755803,6.544283120744568,24.68126000965495,20.098781751512995,14.93167040019221,24.5,1.8346219326695117,16.071533239639578,0.09523809523809523,0.1111111111111111,0.6507936507936508,0.30158730158730157,0.6031746031746031,1472.35,1055.1,16.1,12,0.11764705882352941,-5.0000000000000036
BMW_i3,my_ekf,0,63,0,13.941352115349495,0.2517695536898745,21.498926993540962,15.479083637544559,11.528536095549772,22.099999999999998,0.15109225882116942,13.489379215746844,0.3333333333333333,0.47619047619047616,0.7936507936507936,0.07936507936507936,0.5873015873015873,0.0,0.0,0.0,5,0.3620689655172414,0.0
BMW_i3,my_ekf,5,63,0,10.545500413330378,4.9107828094596115,22.41104605529528,15.080409319632786,9.798698094827191,16.994154097233615,4.846343712537447,12.924691232601349,0.38095238095238093,0.5396825396825397,0.8253968253968254,0.06349206349206349,0.5555555555555556,248.1,149.0,0.0,4,0.4067796610169492,5.0000000000000036
BMW_i3,my_ekf,10,63,0,9.950975371662848,9.854115026967595,17.835720296338927,15.257915046866508,9.91598874501083,12.190779980643107,3.475497239809227,9.86082877824166,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.5079365079365079,0.4444444444444444,1745.5,1745.5,797.2,12,0.058823529411764705,9.992063492063492
BMW_i3,my_ekf,20,63,0,17.605584782749176,13.094099976315178,19.880411060181487,17.688479691607025,16.227216818704466,20.013112037037097,2.0546557339234717,15.941292251764628,0.07936507936507936,0.09523809523809523,0.14285714285714285,0.06349206349206349,0.8571428571428571,903.1,1072.05,982.2,12,0.09803921568627451,17.146031746031746
BMW_i3,my_ekf,30,63,0,19.907377995716164,12.753858891380947,25.800325779172258,20.473900968616963,17.891116196816338,23.374103240740784,2.762811720243432,15.941292251764628,0.09523809523809523,0.1111111111111111,0.12698412698412698,0.047619047619047616,0.8571428571428571,664.9,731.8,853.85,12,0.11764705882352941,21.309523809523807
BMW_i3,rbc_dekf,-30,63,0,30.14147808978318,30.099341877207003,30.214020059499646,29.97235850792235,30.141431209436735,30.292154088575717,4.185073234221588,30.248897606836884,0.015873015873015872,0.015873015873015872,0.0,0.0,0.9841269841269841,3821.9,3821.9,,12,0.0196078431372549,-29.99206349206349
BMW_i3,rbc_dekf,-20,63,0,20.109716420764435,11.116971621213146,20.179615196030056,16.694710202788507,20.10955185191257,20.25668349237797,0.2705367106412581,20.197967878780588,0.015873015873015872,0.031746031746031744,0.14285714285714285,0.25396825396825395,0.7301587301587301,1129.7,1968.0500000000002,894.3,12,0.0196078431372549,-20.0
