# regenerated by data/regen_tables_from_dump.py 20260719T183042Z (git 9b749c0) from offset_sweep_per_trip_retuned_20260719T180407Z.csv; wide-grid θ; changed fleets vs narrow grid: none; my_ekf/coulomb/ocv_lookup rows from the cross-checked sweep
# ocv_lookup is init-independent: identical values replicated across offset rows by construction
# censoring threshold per dataset = EKF median strict t_conv at +20pp
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
dataset,method,offset_pp,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,maxerr_median,rmse_postconv_median,err_end_median,conv_rate_strict,conv_rate_hold,conv_rate_legacy,rate_recovered,rate_diverged,t_conv_strict_median_s,t_conv_hold_median_s,t_conv_legacy_median_s,n_censored,conv_rate_strict_censaware,mean_applied_offset_pp
BMW_i3,my_ekf,20,63,0,17.605584782749176,13.094099976315178,19.880411060181487,17.688479691607025,16.227216818704466,20.013112037037097,2.0546557339234717,15.941292251764628,0.07936507936507936,0.09523809523809523,0.14285714285714285,0.06349206349206349,0.8571428571428571,903.1,1072.05,982.2,12,0.09803921568627451,17.146031746031746
BMW_i3,rbc_dekf,20,63,0,19.390618819998252,12.998949604733422,19.91043855173473,18.58381972826729,17.89111574164124,20.013080978240772,3.245739670365957,15.941292251764628,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.015873015873015872,0.9365079365079365,993.6,993.6,1041.95,12,0.058823529411764705,17.146031746031746
BMW_i3,rbc_coupled,20,63,0,16.88931425647862,12.753858891380947,19.880411060181487,18.491753793291434,16.859818187312882,20.013080978240772,2.1920726448563035,15.941292251764628,0.07936507936507936,0.07936507936507936,0.12698412698412698,0.031746031746031744,0.8888888888888888,1060.3,1060.3,1115.1999999999998,12,0.09803921568627451,17.146031746031746
BMW_i3,coulomb,20,63,0,28.39471385105711,23.739383858457884,35.861914176632595,29.42043409017729,27.598255759904887,35.8,,35.40257407407405,0.0,0.0,0.015873015873015872,0.0,1.0,,,1526.9,12,0.0,17.146031746031746
BMW_i3,ocv_lookup,20,63,0,38.42788954727097,25.65936567928454,49.99351066403957,37.753746948120366,30.414773631130853,73.4,2.1397311874829694,18.999999999999993,0.3968253968253968,0.3968253968253968,0.7936507936507936,0.047619047619047616,0.5555555555555556,1287.4,1287.4,117.9,6,0.43859649122807015,
Deng_BAIC_EU500,my_ekf,20,2000,0,9.283379517088294,5.861742221040492,12.16070794231484,9.69217307590877,6.909609987647708,21.057185910788846,3.3231427280605406,2.400000000000002,0.839,0.935,0.9095,0.1225,0.0385,2642.0,1180.5,912.0,142,0.9031216361679225,19.7238
Deng_BAIC_EU500,rbc_dekf,20,2000,0,7.663277840966977,5.286302531672346,11.906731722696671,9.886086336378153,6.166389481634585,20.146973229885052,3.3779007259911236,2.400000000000002,0.806,0.8865,0.911,0.163,0.031,2586.0,918.0,648.5,153,0.8727666486193828,19.7238
Deng_BAIC_EU500,rbc_coupled,20,2000,0,16.026673051494292,9.429475070109433,21.97798761509568,18.70032819741382,14.734131379447833,25.53352491305108,3.473594739796119,8.59671629485751,0.3245,0.328,0.284,0.232,0.4435,2011.0,1601.0,1467.5,255,0.37191977077363897,19.7238
Deng_BAIC_EU500,coulomb,20,2000,0,43.4243048071293,26.06398791884195,56.09678728326668,40.123308348851644,35.91048431157534,78.81132385440611,2.765215474225989,78.81132385440611,0.035,0.086,0.9605,0.0315,0.9335,525.5,942.5,530.0,341,0.04219409282700422,19.7238
Deng_BAIC_EU500,ocv_lookup,20,2000,0,6.347978911877719,4.6484720553099095,7.327760567205908,6.051591944027226,5.3012011638026735,16.000000000000004,3.6499798549000886,2.400000000000002,0.7475,0.929,0.956,0.1675,0.085,3731.0,370.0,10.0,134,0.8011789924973205,
